CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT,String,Longitude,Latitude
20479000,GOULD,POINT (-122.3976681355068 37.72287427695905),ST,20479000,-122.3976681355068 37.72287427695905,-122.39767,37.72287
21527000,MOUNT VERNON,POINT (-122.4451797855145 37.71657567304997),AVE,21527000,-122.4451797855145 37.71657567304997,-122.44518,37.71658
22723000,GARFIELD,POINT (-122.46985225729819 37.71965223287409),ST,22723000,-122.46985225729819 37.71965223287409,-122.46985,37.71965
23811000,03RD,POINT (-122.39430003733213 37.78008973028666),ST,23811000,-122.39430003733213 37.78008973028666,-122.3943,37.78009
34073000,09TH TI,POINT (-122.37104242271202 37.824815717507164),ST,34073000,-122.37104242271202 37.824815717507164,-122.37104,37.82482
20878000,UNIVERSITY,POINT (-122.41197305800613 37.72145792768385),ST,20878000,-122.41197305800613 37.72145792768385,-122.41197,37.72146
21962000,ADDISON,POINT (-122.43371064801944 37.74008092056229),ST,21962000,-122.43371064801944 37.74008092056229,-122.43371,37.74008
21253000,CORTLAND,POINT (-122.42027504462223 37.739984557426695),AVE,21253000,-122.42027504462223 37.739984557426695,-122.42028,37.73998
22756000,OCEAN,POINT (-122.46733067825251 37.72777203806309),AVE,22756000,-122.46733067825251 37.72777203806309,-122.46733,37.72777
20813000,OAKDALE,POINT (-122.40430629229422 37.74252073412632),AVE,20813000,-122.40430629229422 37.74252073412632,-122.40431,37.74252
33040000,16TH,POINT (-122.40854424234205 37.765722600161844),ST,33040000,-122.40854424234205 37.765722600161844,-122.40854,37.76572
23290000,PACHECO,POINT (-122.48585711922024 37.750084563200794),ST,23290000,-122.48585711922024 37.750084563200794,-122.48586,37.75008
26168000,ORD,POINT (-122.44028519902128 37.7634933381456),CT,26168000,-122.44028519902128 37.7634933381456,-122.44029,37.76349
20631000,GIRARD,POINT (-122.40360091927764 37.724975587419415),ST,20631000,-122.40360091927764 37.724975587419415,-122.4036,37.72498
53028000,KEPPLER,POINT (-122.37692440320443 37.827326428542975),CT,53028000,-122.37692440320443 37.827326428542975,-122.37692,37.82733
25612000,JERSEY,POINT (-122.42625074286595 37.75096238826819),ST,25612000,-122.42625074286595 37.75096238826819,-122.42625,37.75096
24769000,VERDI,POINT (-122.40379710331999 37.79789357700019),PL,24769000,-122.40379710331999 37.79789357700019,-122.4038,37.79789
26178000,LOWER,POINT (-122.44379547014293 37.763295595866595),TER,26178000,-122.44379547014293 37.763295595866595,-122.4438,37.7633
21200000,RICHLAND,POINT (-122.41675951998033 37.73560466546946),AVE,21200000,-122.41675951998033 37.73560466546946,-122.41676,37.7356
24350000,KISSLING,POINT (-122.41500165321965 37.772649473998655),ST,24350000,-122.41500165321965 37.772649473998655,-122.415,37.77265
32860000,OAK ACCESS,POINT (-122.45329513196276 37.771390190417094),RD,32860000,-122.45329513196276 37.771390190417094,-122.4533,37.77139
20777000,HELENA,POINT (-122.40468222376543 37.73639219272453),ST,20777000,-122.40468222376543 37.73639219272453,-122.40468,37.73639
51566000,25TH,POINT (-122.4434299916572 37.7490905448597),ST,51566000,-122.4434299916572 37.7490905448597,-122.44343,37.74909
54231000,BALTIMORE,POINT (-122.43256981203487 37.70876800644106),WAY,54231000,-122.43256981203487 37.70876800644106,-122.43257,37.70877
25495000,REDFIELD,POINT (-122.4148761877922 37.80068445370068),ALY,25495000,-122.4148761877922 37.80068445370068,-122.41488,37.80068
25093000,TAYLOR,POINT (-122.41264965727603 37.792552336754994),ST,25093000,-122.41264965727603 37.792552336754994,-122.41265,37.79255
24984000,SABIN,POINT (-122.40671823433784 37.79235226189566),PL,24984000,-122.40671823433784 37.79235226189566,-122.40672,37.79235
27521000,26TH,POINT (-122.48526202472691 37.77252041982986),AVE,27521000,-122.48526202472691 37.77252041982986,-122.48526,37.77252
24475000,VAN NESS,POINT (-122.4204519020291 37.78150997061181),AVE,24475000,-122.4204519020291 37.78150997061181,-122.42045,37.78151
24764000,MONTGOMERY,POINT (-122.40354916727402 37.79667132305735),ST,24764000,-122.40354916727402 37.79667132305735,-122.40355,37.79667
52082000,FORT FUNSTON,POINT (-122.49954360473495 37.71266971268049),RD,52082000,-122.49954360473495 37.71266971268049,-122.49954,37.71267
30047000,SACRAMENTO,POINT (-122.41192994408037 37.7926445051445),ST,30047000,-122.41192994408037 37.7926445051445,-122.41193,37.79264
22421000,JUANITA,POINT (-122.45162570402579 37.74450281259112),WAY,22421000,-122.45162570402579 37.74450281259112,-122.45163,37.7445
23015000,STRATFORD,POINT (-122.47361077650058 37.71998055750954),DR,23015000,-122.47361077650058 37.71998055750954,-122.47361,37.71998
21889000,LAIDLEY,POINT (-122.43034955331298 37.74019960692891),ST,21889000,-122.43034955331298 37.74019960692891,-122.43035,37.7402
22846000,MIRALOMA,POINT (-122.45912284792823 37.74013802432872),DR,22846000,-122.45912284792823 37.74013802432872,-122.45912,37.74014
23696000,24TH,POINT (-122.40059650598236 37.753344062106024),ST,23696000,-122.40059650598236 37.753344062106024,-122.4006,37.75334
22879000,KENSINGTON,POINT (-122.4619752625845 37.74295712487963),WAY,22879000,-122.4619752625845 37.74295712487963,-122.46198,37.74296
51427000,06TH,POINT (-122.46481698606149 37.78837755901816),AVE,51427000,-122.46481698606149 37.78837755901816,-122.46482,37.78838
22437000,PORTOLA,POINT (-122.45226885598589 37.74517381205752),DR,22437000,-122.45226885598589 37.74517381205752,-122.45227,37.74517
23991000,FOLSOM,POINT (-122.41423350930643 37.75409888283819),ST,23991000,-122.41423350930643 37.75409888283819,-122.41423,37.7541
25549000,LARKIN,POINT (-122.42068880147033 37.79897105678115),ST,25549000,-122.42068880147033 37.79897105678115,-122.42069,37.79897
23882000,DECATUR,POINT (-122.40654518233545 37.7728607496386),ST,23882000,-122.40654518233545 37.7728607496386,-122.40655,37.77286
22662000,JULES,POINT (-122.4612105475138 37.72494970117645),AVE,22662000,-122.4612105475138 37.72494970117645,-122.46121,37.72495
20369000,SCHWERIN,POINT (-122.41196819706332 37.70921035234348),ST,20369000,-122.41196819706332 37.70921035234348,-122.41197,37.70921
23000000,15TH,POINT (-122.47131911737722 37.746984218402645),AVE,23000000,-122.47131911737722 37.746984218402645,-122.47132,37.74698
24225000,TREAT,POINT (-122.4126108380924 37.767538342394616),AVE,24225000,-122.4126108380924 37.767538342394616,-122.41261,37.76754
23126000,LAKE MERCED,POINT (-122.48655207268045 37.729585010598264),BLVD,23126000,-122.48655207268045 37.729585010598264,-122.48655,37.72959
22098000,NIAGARA,POINT (-122.44590919588786 37.718827696015175),AVE,22098000,-122.44590919588786 37.718827696015175,-122.44591,37.71883
51176000,WEDEMEYER,POINT (-122.47335420985458 37.787491817523005),ST,51176000,-122.47335420985458 37.787491817523005,-122.47335,37.78749
24731000,CALIFORNIA,POINT (-122.40382799938153 37.79271713183143),ST,24731000,-122.40382799938153 37.79271713183143,-122.40383,37.79272
21115000,FRANCONIA,POINT (-122.40782840272553 37.74603469112208),ST,21115000,-122.40782840272553 37.74603469112208,-122.40783,37.74603
51863000,BRADFORD,POINT (-122.40968708447953 37.73765463273906),ST,51863000,-122.40968708447953 37.73765463273906,-122.40969,37.73765
20329000,CAMPBELL,POINT (-122.40382283793595 37.714395520756256),AVE,20329000,-122.40382283793595 37.714395520756256,-122.40382,37.7144
30709000,VAN NESS,POINT (-122.42136006336149 37.78521438365283),AVE,30709000,-122.42136006336149 37.78521438365283,-122.42136,37.78521
25949000,OAK,POINT (-122.43082471319346 37.773972520822284),ST,25949000,-122.43082471319346 37.773972520822284,-122.43082,37.77397
26613000,PIERCE,POINT (-122.43602866437455 37.78284676206979),ST,26613000,-122.43602866437455 37.78284676206979,-122.43603,37.78285
20900000,SOMERSET,POINT (-122.4085485112026 37.729002897575654),ST,20900000,-122.4085485112026 37.729002897575654,-122.40855,37.729
20366000,DELTA,POINT (-122.41044102592122 37.71034975554144),ST,20366000,-122.41044102592122 37.71034975554144,-122.41044,37.71035
22381000,CRESTA VISTA,POINT (-122.45157827650144 37.736056956400276),DR,22381000,-122.45157827650144 37.736056956400276,-122.45158,37.73606
26367000,BAKER,POINT (-122.4421276483993 37.781528875453134),ST,26367000,-122.4421276483993 37.781528875453134,-122.44213,37.78153
21234000,MURRAY,POINT (-122.42013382026789 37.73613745989306),ST,21234000,-122.42013382026789 37.73613745989306,-122.42013,37.73614
25190000,VAN NESS,POINT (-122.42100836002977 37.783824118235344),AVE,25190000,-122.42100836002977 37.783824118235344,-122.42101,37.78382
33637000,PRESIDIO,POINT (-122.46031545286887 37.78825670385725),TER,33637000,-122.46031545286887 37.78825670385725,-122.46032,37.78826
26485000,ROSSI,POINT (-122.45605066244552 37.77749934476735),AVE,26485000,-122.45605066244552 37.77749934476735,-122.45605,37.7775
27430000,KIRKHAM,POINT (-122.48757950106325 37.759359420691524),ST,27430000,-122.48757950106325 37.759359420691524,-122.48758,37.75936
23433000,42ND,POINT (-122.49993927550138 37.73637053193773),AVE,23433000,-122.49993927550138 37.73637053193773,-122.49994,37.73637
23208000,21ST,POINT (-122.47809442535653 37.746685252900186),AVE,23208000,-122.47809442535653 37.746685252900186,-122.47809,37.74669
24213000,BRYANT,POINT (-122.41060980137173 37.76690344477832),ST,24213000,-122.41060980137173 37.76690344477832,-122.41061,37.7669
34102000,HUTCHINS,POINT (-122.37647902164764 37.827832723652655),CT,34102000,-122.37647902164764 37.827832723652655,-122.37648,37.82783
27475000,ANZA,POINT (-122.47217361834193 37.778728021359676),ST,27475000,-122.47217361834193 37.778728021359676,-122.47217,37.77873
26113000,BURNETT,POINT (-122.44577864834352 37.75050368498677),AVE,26113000,-122.44577864834352 37.75050368498677,-122.44578,37.7505
26655000,WEBSTER,POINT (-122.43327422535654 37.79447411162771),ST,26655000,-122.43327422535654 37.79447411162771,-122.43327,37.79447
23904000,PERRY,POINT (-122.39907963435923 37.78036288755931),ST,23904000,-122.39907963435923 37.78036288755931,-122.39908,37.78036
20855000,COLBY,POINT (-122.41000174552873 37.71933156881691),ST,20855000,-122.41000174552873 37.71933156881691,-122.41,37.71933
20324000,CAMPBELL,POINT (-122.40256214774732 37.71464974355344),AVE,20324000,-122.40256214774732 37.71464974355344,-122.40256,37.71465
27765000,ORTEGA,POINT (-122.50206032058311 37.751239765382685),ST,27765000,-122.50206032058311 37.751239765382685,-122.50206,37.75124
25776000,EUREKA,POINT (-122.43776923061994 37.755540691220865),ST,25776000,-122.43776923061994 37.755540691220865,-122.43777,37.75554
21913000,28TH,POINT (-122.42903667185735 37.745165387163),ST,21913000,-122.42903667185735 37.745165387163,-122.42904,37.74517
32868000,37TH,POINT (-122.49650383698142 37.76398195930737),AVE,32868000,-122.49650383698142 37.76398195930737,-122.4965,37.76398
22149000,CIRCULAR,POINT (-122.44592981034661 37.72671578050493),AVE,22149000,-122.44592981034661 37.72671578050493,-122.44593,37.72672
51660000,CHARTER OAK,POINT (-122.40471817785834 37.73618717236195),AVE,51660000,-122.40471817785834 37.73618717236195,-122.40472,37.73619
33619000,TOWNSEND,POINT (-122.40439138125589 37.769749519923735),ST,33619000,-122.40439138125589 37.769749519923735,-122.40439,37.76975
22001000,GOLD MINE,POINT (-122.43866078027528 37.74066032445655),DR,22001000,-122.43866078027528 37.74066032445655,-122.43866,37.74066
51475000,ARGUELLO,POINT (-122.45947564992773 37.78971055920283),BLVD,51475000,-122.45947564992773 37.78971055920283,-122.45948,37.78971
23908000,05TH,POINT (-122.40184327330405 37.77903213272598),ST,23908000,-122.40184327330405 37.77903213272598,-122.40184,37.77903
26592000,FILLMORE,POINT (-122.43308339798848 37.78515094012389),ST,26592000,-122.43308339798848 37.78515094012389,-122.43308,37.78515
33178000,SAN BRUNO,POINT (-122.40142155547527 37.722369028674635),AVE,33178000,-122.40142155547527 37.722369028674635,-122.40142,37.72237
20404000,SUNRISE,POINT (-122.415955915831 37.70969486819434),WAY,20404000,-122.415955915831 37.70969486819434,-122.41596,37.70969
27685000,32ND,POINT (-122.49053434338326 37.75549313206275),AVE,27685000,-122.49053434338326 37.75549313206275,-122.49053,37.75549
24288000,RUSS,POINT (-122.40880899411367 37.77929370225371),ST,24288000,-122.40880899411367 37.77929370225371,-122.40881,37.77929
33459000,NAGLEE,POINT (-122.45095624574034 37.71549351241602),AVE,33459000,-122.45095624574034 37.71549351241602,-122.45096,37.71549
30066000,JACKSON,POINT (-122.40779730422788 37.7958809623435),ST,30066000,-122.40779730422788 37.7958809623435,-122.4078,37.79588
26005000,CASTRO,POINT (-122.43579421323098 37.76905845384622),ST,26005000,-122.43579421323098 37.76905845384622,-122.43579,37.76906
21290000,SHOTWELL,POINT (-122.41491896324389 37.74823073104767),ST,21290000,-122.41491896324389 37.74823073104767,-122.41492,37.74823
26594000,STEINER,POINT (-122.43456209903648 37.78415186343376),ST,26594000,-122.43456209903648 37.78415186343376,-122.43456,37.78415
27484000,CLEMENT,POINT (-122.47245106094857 37.78257853781851),ST,27484000,-122.47245106094857 37.78257853781851,-122.47245,37.78258
21632000,PERSIA,POINT (-122.42959915439116 37.720090314183544),AVE,21632000,-122.42959915439116 37.720090314183544,-122.4296,37.72009
23036000,JOSEPHA,POINT (-122.47750075056577 37.71601422638823),AVE,23036000,-122.47750075056577 37.71601422638823,-122.4775,37.71601
27425000,26TH,POINT (-122.48436517174542 37.759501201942214),AVE,27425000,-122.48436517174542 37.759501201942214,-122.48437,37.7595
24808000,BATTERY,POINT (-122.4012402414252 37.79953144773348),ST,24808000,-122.4012402414252 37.79953144773348,-122.40124,37.79953
26451000,CLAYTON,POINT (-122.44970782688885 37.775389941529106),ST,26451000,-122.44970782688885 37.775389941529106,-122.44971,37.77539
27151000,07TH,POINT (-122.4642373753811 37.765066770366275),AVE,27151000,-122.4642373753811 37.765066770366275,-122.46424,37.76507
25770000,DIAMOND,POINT (-122.43652652723077 37.75353959005967),ST,25770000,-122.43652652723077 37.75353959005967,-122.43653,37.75354
24916000,MASON,POINT (-122.40993054294215 37.78742933089278),ST,24916000,-122.40993054294215 37.78742933089278,-122.40993,37.78743
27086000,06TH,POINT (-122.46316736900316 37.76511423987736),AVE,27086000,-122.46316736900316 37.76511423987736,-122.46317,37.76511
24687000,LEIDESDORFF,POINT (-122.40175412088979 37.79200342923639),ST,24687000,-122.40175412088979 37.79200342923639,-122.40175,37.792
22230000,EDNA,POINT (-122.44729182093882 37.73154715336937),ST,22230000,-122.44729182093882 37.73154715336937,-122.44729,37.73155
50328000,ASH,POINT (-122.42240883005711 37.77934583297946),ST,50328000,-122.42240883005711 37.77934583297946,-122.42241,37.77935
26973000,SCOTT,POINT (-122.44097756105846 37.799212366621994),ST,26973000,-122.44097756105846 37.799212366621994,-122.44098,37.79921
53004000,STEUART,POINT (-122.39118298474997 37.791625734299465),ST,53004000,-122.39118298474997 37.791625734299465,-122.39118,37.79163
51996000,LELAND,POINT (-122.41546932731616 37.714740862211684),AVE,51996000,-122.41546932731616 37.714740862211684,-122.41547,37.71474
21097000,PERALTA,POINT (-122.40874913362101 37.74127737694535),AVE,21097000,-122.40874913362101 37.74127737694535,-122.40875,37.74128
27716000,33RD,POINT (-122.49199747295474 37.76103951382407),AVE,27716000,-122.49199747295474 37.76103951382407,-122.492,37.76104
20855000,MANSELL,POINT (-122.41000174552873 37.71933156881691),ST,20855000,-122.41000174552873 37.71933156881691,-122.41,37.71933
22272000,MANGELS,POINT (-122.44200231908557 37.7330979558651),AVE,22272000,-122.44200231908557 37.7330979558651,-122.442,37.7331
25994000,STEINER,POINT (-122.43246706868024 37.77375698924033),ST,25994000,-122.43246706868024 37.77375698924033,-122.43247,37.77376
21635000,BRAZIL,POINT (-122.42843213212953 37.721634672937526),AVE,21635000,-122.42843213212953 37.721634672937526,-122.42843,37.72163
26403000,CLAYTON,POINT (-122.44801316093437 37.76700668068964),ST,26403000,-122.44801316093437 37.76700668068964,-122.44801,37.76701
33605000,SCHWERIN,POINT (-122.41249676742855 37.708020185075824),ST,33605000,-122.41249676742855 37.708020185075824,-122.4125,37.70802
26652000,WEBSTER,POINT (-122.43299959578239 37.79311940754522),ST,26652000,-122.43299959578239 37.79311940754522,-122.433,37.79312
26625000,SCOTT,POINT (-122.43820638258525 37.785459341955516),ST,26625000,-122.43820638258525 37.785459341955516,-122.43821,37.78546
27306000,12TH,POINT (-122.47084599557043 37.78265240065586),AVE,27306000,-122.47084599557043 37.78265240065586,-122.47085,37.78265
50082000,I-80 E OFF,POINT (-122.40650759023225 37.773004838270985),RAMP,50082000,-122.40650759023225 37.773004838270985,-122.40651,37.773
25486000,JEFFERSON,POINT (-122.41416443389006 37.80842105974719),ST,25486000,-122.41416443389006 37.80842105974719,-122.41416,37.80842
25231000,LEAVENWORTH,POINT (-122.41575019743716 37.79120630899068),ST,25231000,-122.41575019743716 37.79120630899068,-122.41575,37.79121
24048000,16TH,POINT (-122.41048668917078 37.765605838572974),ST,24048000,-122.41048668917078 37.765605838572974,-122.41049,37.76561
20207000,CASHMERE,POINT (-122.38656998124495 37.736719723330154),ST,20207000,-122.38656998124495 37.736719723330154,-122.38657,37.73672
33692000,INDUSTRIAL ST OFF,POINT (-122.40816909818737 37.73585911286461),RAMP,33692000,-122.40816909818737 37.73585911286461,-122.40817,37.73586
24693000,FRONT,POINT (-122.39914941955925 37.79516338591074),ST,24693000,-122.39914941955925 37.79516338591074,-122.39915,37.79516
50116000,WORDEN,POINT (-122.41059275266683 37.805481648650805),ST,50116000,-122.41059275266683 37.805481648650805,-122.41059,37.80548
23413000,QUINTARA,POINT (-122.49215591789735 37.747935694739525),ST,23413000,-122.49215591789735 37.747935694739525,-122.49216,37.74794
21499000,BRUNSWICK,POINT (-122.446705073594 37.70940240108997),ST,21499000,-122.446705073594 37.70940240108997,-122.44671,37.7094
24887000,MINT,POINT (-122.40787123616941 37.78275064802302),PLZ,24887000,-122.40787123616941 37.78275064802302,-122.40787,37.78275
20661000,NEWCOMB,POINT (-122.38977083661644 37.735224882983665),AVE,20661000,-122.38977083661644 37.735224882983665,-122.38977,37.73522
23476000,42ND,POINT (-122.50059751355597 37.745691978351275),AVE,23476000,-122.50059751355597 37.745691978351275,-122.5006,37.74569
20679000,PHELPS,POINT (-122.39409283312784 37.736728652036525),ST,20679000,-122.39409283312784 37.736728652036525,-122.39409,37.73673
21497000,BRUNSWICK,POINT (-122.44550334417629 37.709813314843394),ST,21497000,-122.44550334417629 37.709813314843394,-122.4455,37.70981
27002000,BRODERICK,POINT (-122.44470426876669 37.80069573443116),ST,27002000,-122.44470426876669 37.80069573443116,-122.4447,37.8007
28166000,RICHARDS,POINT (-122.38577233432947 37.73578395898233),CIR,28166000,-122.38577233432947 37.73578395898233,-122.38577,37.73578
22094000,DELANO,POINT (-122.44626303603685 37.7182644134966),AVE,22094000,-122.44626303603685 37.7182644134966,-122.44626,37.71826
33136000,GALVEZ,POINT (-122.37684437432496 37.73450378915212),AVE,33136000,-122.37684437432496 37.73450378915212,-122.37684,37.7345
52259000,INDUSTRIAL,POINT (-122.40812457755989 37.737657377719316),ST,52259000,-122.40812457755989 37.737657377719316,-122.40812,37.73766
52224000,UNNAMED 129,POINT (-122.4842247279895 37.70835275444294),,52224000,-122.4842247279895 37.70835275444294,-122.48422,37.70835
22311000,CORALINO,POINT (-122.44280914286604 37.74433075939708),LN,22311000,-122.44280914286604 37.74433075939708,-122.44281,37.74433
30755000,MARKET,POINT (-122.42261969061566 37.77250281741758),ST,30755000,-122.42261969061566 37.77250281741758,-122.42262,37.7725
23933000,06TH,POINT (-122.40506850923869 37.778068981389985),ST,23933000,-122.40506850923869 37.778068981389985,-122.40507,37.77807
51845000,BURKE,POINT (-122.36805963935299 37.73424236193478),AVE,51845000,-122.36805963935299 37.73424236193478,-122.36806,37.73424
27232000,CLEMENT,POINT (-122.45899840099553 37.7831886648312),ST,27232000,-122.45899840099553 37.7831886648312,-122.459,37.78319
25656000,CHATTANOOGA,POINT (-122.42663400783238 37.754962268353054),ST,25656000,-122.42663400783238 37.754962268353054,-122.42663,37.75496
26604000,WEBSTER,POINT (-122.43200332530446 37.78815907489617),ST,26604000,-122.43200332530446 37.78815907489617,-122.432,37.78816
20345000,VISITACION,POINT (-122.40618512767894 37.71095726614341),AVE,20345000,-122.40618512767894 37.71095726614341,-122.40619,37.71096
35041000,DORCAS,POINT (-122.4486552637515 37.73619631775583),WAY,35041000,-122.4486552637515 37.73619631775583,-122.44866,37.7362
32999000,PORTAL,POINT (-122.4647963208786 37.7390203251545),PATH,32999000,-122.4647963208786 37.7390203251545,-122.4648,37.73902
22781000,CEDRO,POINT (-122.47031827510976 37.72715538680413),AVE,22781000,-122.47031827510976 37.72715538680413,-122.47032,37.72716
27413000,KIRKHAM,POINT (-122.48222116265117 37.759595723492176),ST,27413000,-122.48222116265117 37.759595723492176,-122.48222,37.7596
26054000,PIERCE,POINT (-122.43486377208956 37.77728066539538),ST,26054000,-122.43486377208956 37.77728066539538,-122.43486,37.77728
27713000,KIRKHAM,POINT (-122.49079440883018 37.759217525587665),ST,27713000,-122.49079440883018 37.759217525587665,-122.49079,37.75922
25914000,FELL,POINT (-122.42432464931133 37.775753961899085),ST,25914000,-122.42432464931133 37.775753961899085,-122.42432,37.77575
23017000,CAMBON,POINT (-122.47438270458518 37.7175074857486),DR,23017000,-122.47438270458518 37.7175074857486,-122.47438,37.71751
21243000,NEWMAN,POINT (-122.41894019371702 37.73789660453028),ST,21243000,-122.41894019371702 37.73789660453028,-122.41894,37.7379
26776000,BAY,POINT (-122.43497257566727 37.80284751488974),ST,26776000,-122.43497257566727 37.80284751488974,-122.43497,37.80285
25703000,DOLORES,POINT (-122.42622847853792 37.763030870242886),ST,25703000,-122.42622847853792 37.763030870242886,-122.42623,37.76303
54189000,ROSA PARKS,POINT (-122.4226066304845 37.76744441939177),LN,54189000,-122.4226066304845 37.76744441939177,-122.42261,37.76744
50796000,REUEL,POINT (-122.38219033798015 37.73643322628881),CT,50796000,-122.38219033798015 37.73643322628881,-122.38219,37.73643
20142000,INGALLS,POINT (-122.38736826108148 37.725354104651785),ST,20142000,-122.38736826108148 37.725354104651785,-122.38737,37.72535
25161000,MABEL,POINT (-122.41633077746826 37.78572651702684),ALY,25161000,-122.41633077746826 37.78572651702684,-122.41633,37.78573
25983000,HENRY,POINT (-122.4355481230504 37.766527891989355),ST,25983000,-122.4355481230504 37.766527891989355,-122.43555,37.76653
51482000,FERNANDEZ,POINT (-122.45708904448031 37.79690960331553),ST,51482000,-122.45708904448031 37.79690960331553,-122.45709,37.79691
51359000,KOBBE,POINT (-122.47435273428577 37.798702784919016),AVE,51359000,-122.47435273428577 37.798702784919016,-122.47435,37.7987
25534000,COLUMBUS,POINT (-122.4168183441491 37.80488716059723),AVE,25534000,-122.4168183441491 37.80488716059723,-122.41682,37.80489
33300000,FAIR,POINT (-122.41785108012783 37.74477017232235),AVE,33300000,-122.41785108012783 37.74477017232235,-122.41785,37.74477
20341000,PEABODY,POINT (-122.40773363038257 37.70959004173952),ST,20341000,-122.40773363038257 37.70959004173952,-122.40773,37.70959
26931000,PARKER,POINT (-122.45461780258975 37.784029989293714),AVE,26931000,-122.45461780258975 37.784029989293714,-122.45462,37.78403
25274000,PACIFIC,POINT (-122.41665275479666 37.79567005107667),AVE,25274000,-122.41665275479666 37.79567005107667,-122.41665,37.79567
26271000,17TH,POINT (-122.45057996918482 37.76156113865587),ST,26271000,-122.45057996918482 37.76156113865587,-122.45058,37.76156
33074000,20TH,POINT (-122.40593403378597 37.75944580715052),ST,33074000,-122.40593403378597 37.75944580715052,-122.40593,37.75945
26343000,PAGE,POINT (-122.44712270052217 37.770934641362125),ST,26343000,-122.44712270052217 37.770934641362125,-122.44712,37.77093
26266000,COLE,POINT (-122.44912021444297 37.76164812569095),ST,26266000,-122.44912021444297 37.76164812569095,-122.44912,37.76165
27934000,KIRKHAM,POINT (-122.50472545239825 37.75860639979089),ST,27934000,-122.50472545239825 37.75860639979089,-122.50473,37.75861
22084000,GENEVA,POINT (-122.44288707254283 37.71828685138312),AVE,22084000,-122.44288707254283 37.71828685138312,-122.44289,37.71829
21712000,EDINBURGH,POINT (-122.43318514321194 37.71968063717402),ST,21712000,-122.43318514321194 37.71968063717402,-122.43319,37.71968
26747000,GREENWICH,POINT (-122.43586632019314 37.79895185005018),ST,26747000,-122.43586632019314 37.79895185005018,-122.43587,37.79895
